market_id,market_name,anomaly_trigger_time_utc,price_before,price_after,max_abs_move,score_magnitude,score_speed,score_persistence,score_unusualness,time_to_close_bonus,concentration_available,concentration_tier,concentration_red_flag,concentration_bonus,top1_wallet_share,top3_wallet_share,wallet_gini,concentration_reason,anomaly_score,observations,anomaly_class
629506,Will the Republicans win the Nevada governor race in 2026?,2026-08-12T03:00:09Z,0.48,0.645,0.165,100.0,100.0,100.0,100.0,0.0,False,unavailable,False,0.0,,,,no trades available for the window,100.0,337,strong
629629,Will an independent win the Rhode Island governor race in 2026?,2026-08-05T17:00:11Z,0.3475,0.0345,0.313,100.0,100.0,99.6,100.0,0.0,False,unavailable,False,0.0,,,,no trades available for the window,99.9,337,strong
593974,Will Bernie endorse Dan Osborn for NE-Sen by Nov 2 2026 ET?,2026-08-12T07:00:11Z,0.1125,0.611,0.4985,100.0,100.0,93.3,100.0,0.0,False,unavailable,False,0.0,,,,no trades available for the window,98.7,337,strong
664045,Will Mamdani freeze NYC rents before 2027?,2026-08-10T11:00:08Z,0.7005,0.8945,0.194,100.0,100.0,93.4,100.0,0.0,False,unavailable,False,0.0,,,,no trades available for the window,98.7,337,strong
629721,Will the Republicans win the Wisconsin governor race in 2026?,2026-08-12T11:00:12Z,0.6,0.22,0.38,100.0,100.0,99.5,91.4,0.0,False,unavailable,False,0.0,,,,no trades available for the window,98.2,337,strong
629505,Will the Democrats win the Nevada governor race in 2026?,2026-08-12T02:00:29Z,0.52,0.295,0.225,100.0,100.0,83.7,100.0,0.0,False,unavailable,False,0.0,,,,no trades available for the window,96.7,337,strong
629413,Will the Republicans win the Kansas governor race in 2026?,2026-08-11T21:00:09Z,0.775,0.57,0.205,100.0,100.0,99.0,72.2,0.0,False,unavailable,False,0.0,,,,no trades available for the window,94.2,337,strong
593973,Will Bernie endorse Kshama Sawant for WA-09 by Nov 2 2026 ET?,2026-08-07T18:00:13Z,0.1075,0.0255,0.082,82.0,100.0,100.0,100.0,0.0,False,unavailable,False,0.0,,,,no trades available for the window,93.7,337,strong
629412,Will the Democrats win the Kansas governor race in 2026?,2026-08-12T01:00:15Z,0.245,0.435,0.19,100.0,100.0,95.6,72.5,0.0,False,unavailable,False,0.0,,,,no trades available for the window,93.6,337,strong
665261,Will Donald Trump visit Canada in 2026?,2026-08-06T09:00:15Z,0.26,0.075,0.185,100.0,100.0,98.9,67.1,0.0,False,unavailable,False,0.0,,,,no trades available for the window,93.2,337,strong
