market_id,market_name,anomaly_trigger_time_utc,price_before,price_after,max_abs_move,score_magnitude,score_speed,score_persistence,score_unusualness,time_to_close_bonus,concentration_available,concentration_tier,concentration_red_flag,concentration_bonus,top1_wallet_share,top3_wallet_share,wallet_gini,concentration_reason,anomaly_score,observations,anomaly_class
629506,Will the Republicans win the Nevada governor race in 2026?,2026-08-12T03:00:09Z,0.48,0.645,0.165,100.0,100.0,100.0,100.0,0.0,False,unavailable,False,0.0,,,,no trades available for the window,100.0,337,strong
593974,Will Bernie endorse Dan Osborn for NE-Sen by Nov 2 2026 ET?,2026-08-12T07:00:11Z,0.1125,0.611,0.4985,100.0,100.0,93.3,100.0,0.0,False,unavailable,False,0.0,,,,no trades available for the window,98.7,337,strong
664045,Will Mamdani freeze NYC rents before 2027?,2026-08-10T11:00:08Z,0.7005,0.8945,0.194,100.0,100.0,93.4,100.0,0.0,False,unavailable,False,0.0,,,,no trades available for the window,98.7,337,strong
629505,Will the Democrats win the Nevada governor race in 2026?,2026-08-12T02:00:29Z,0.52,0.295,0.225,100.0,100.0,83.7,100.0,0.0,False,unavailable,False,0.0,,,,no trades available for the window,96.7,337,strong
629721,Will the Republicans win the Wisconsin governor race in 2026?,2026-08-12T11:00:12Z,0.6,0.22,0.38,100.0,100.0,99.5,83.2,0.0,False,unavailable,False,0.0,,,,no trades available for the window,96.5,337,strong
629412,Will the Democrats win the Kansas governor race in 2026?,2026-08-12T01:00:15Z,0.245,0.435,0.19,100.0,100.0,95.6,78.0,0.0,False,unavailable,False,0.0,,,,no trades available for the window,94.7,336,strong
629413,Will the Republicans win the Kansas governor race in 2026?,2026-08-11T21:00:09Z,0.775,0.57,0.205,100.0,100.0,99.0,71.4,0.0,False,unavailable,False,0.0,,,,no trades available for the window,94.1,337,strong
593972,Will Bernie endorse James Talarico for TX-Sen by Nov 2 2026 ET?,2026-08-18T23:00:16Z,0.29,0.58,0.29,100.0,100.0,71.3,90.9,0.0,False,unavailable,False,0.0,,,,no trades available for the window,92.4,337,strong
665264,Will Donald Trump visit Japan in 2026?,2026-08-21T12:00:27Z,0.19,0.47,0.28,100.0,100.0,57.7,100.0,0.0,False,unavailable,False,0.0,,,,no trades available for the window,91.5,336,strong
629720,Will the Democrats win the Wisconsin governor race in 2026?,2026-08-12T12:00:26Z,0.395,0.775,0.38,100.0,100.0,100.0,57.6,0.0,False,unavailable,False,0.0,,,,no trades available for the window,91.5,336,strong
630833,Will an independent win the Montana Senate race in 2026?,2026-08-11T19:00:28Z,0.1565,0.07,0.0865,86.5,97.0,99.9,80.8,0.0,False,unavailable,False,0.0,,,,no trades available for the window,90.7,337,strong
629490,Will the Democrats win the Nebraska governor race in 2026?,2026-08-17T11:00:15Z,0.145,0.065,0.08,80.0,100.0,88.5,94.7,0.0,False,unavailable,False,0.0,,,,no trades available for the window,89.6,337,strong
665265,Will Donald Trump visit Germany in 2026?,2026-08-15T09:00:13Z,0.475,0.325,0.15,100.0,100.0,85.3,62.1,0.0,False,unavailable,False,0.0,,,,no trades available for the window,89.5,337,strong
656313,OpenAI $1t+ IPO before 2027?,2026-08-15T13:00:15Z,0.195,0.42,0.225,100.0,100.0,49.6,89.6,0.0,False,unavailable,False,0.0,,,,no trades available for the window,87.8,337,strong
629491,Will the Republicans win the Nebraska governor race in 2026?,2026-08-17T12:00:15Z,0.855,0.935,0.08,80.0,100.0,83.3,82.1,0.0,False,unavailable,False,0.0,,,,no trades available for the window,86.1,337,strong
629324,Will the Democrats win the Florida governor race in 2026?,2026-08-21T06:00:17Z,0.175,0.235,0.06,60.0,100.0,100.0,97.1,0.0,False,unavailable,False,0.0,,,,no trades available for the window,85.4,337,strong
622738,"Will Hyperliquid perform an airdrop by December 31, 2026? ",2026-08-20T07:00:16Z,0.115,0.215,0.1,100.0,100.0,50.8,73.6,0.0,False,unavailable,False,0.0,,,,no trades available for the window,84.9,337,medium
